id,user_name,title,duration,view_count,created_at_jst,info_updated_at_jst
1685804533,koQchan,初めまして！自己と家族と供物を紹介します！,1m20s,1399,2022-12-22 19:05:54,2023-02-21 14:00:45.021095
1685826741,koQchan,初めまして！自己と家族と供物を紹介します！,3h33m7s,6335,2022-12-22 20:09:34,2023-02-21 14:00:45.021095
1686719839,koQchan,初めまして！自己と家族と供物を紹介します！,3h51m24s,6894,2022-12-23 20:16:43,2023-02-22 14:00:44.871994
1687506122,koQchan,初めまして！自己と家族と供物を紹介します！,20m22s,1275,2022-12-24 15:04:45,2023-02-23 12:00:44.616014
1687524506,koQchan,闇ケーキ抽選会場,9m30s,1326,2022-12-24 15:45:38,2023-02-23 12:00:44.616014
1687596219,koQchan,闇ケーキ作ります,4h4m48s,6773,2022-12-24 19:10:49,2023-02-23 14:00:44.518823
1689064344,koQchan,闇ケーキ作ります,3m44s,1741,2022-12-26 18:54:36,2023-02-25 14:00:44.690917
1690217188,koQchan,闇ケーキ作ります,2m38s,1795,2022-12-28 03:01:23,2023-02-26 20:00:44.526820
1692246685,koQchan,おセンチブルなキャラメイキング,38m48s,8361,2022-12-30 05:38:13,2023-02-28 22:00:44.873142
1694188222,koQchan,おセンチブルなキャラメイキング,1h32m6s,41,2023-01-01 08:11:00,2023-01-01 10:00:18.454785
1707367939,koQchan,あけおめ,1h40m24s,448,2023-01-15 04:10:27,2023-01-15 10:00:18.247613
1710741560,koQchan,一瞬だけ,1h14m24s,5182,2023-01-18 12:16:03,2023-03-20 12:00:06.896352
1718836969,koQchan,荒れてます,1h33m2s,2858,2023-01-26 18:18:08,2023-03-28 14:00:06.549943
1721899453,koQchan,3秒！,4h40m34s,6930,2023-01-29 18:02:43,2023-03-31 14:00:08.611184
1722952281,koQchan,トイレ詰まり報告会場,18m8s,1918,2023-01-30 21:28:07,2023-04-01 15:00:06.891183
1726772409,koQchan,あおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおん,12m18s,2021,2023-02-03 18:13:47,2023-04-05 14:00:06.744983
1728193383,koQchan,グッドアフタヌーン！ですわ～～～！！,16m16s,5525,2023-02-05 03:33:05,2023-04-06 20:00:08.363105
1739861410,koQchan,モンハンっぽい新作,5h34m52s,4608,2023-02-17 00:08:30,2023-04-18 17:00:06.483529
